store_id,store_petId,store_quantity,store_shipDate,store_status,store_complete
996394136,389,5,2024-05-15T17:55:21.564Z,placed,True
store_id,store_petId,store_quantity,store_shipDate,store_status,store_complete
996394137,390,3,2024-06-15T17:55:21.564Z,approved,False
store_id,store_petId,store_quantity,store_shipDate,store_status,store_complete
996394138,391,10,2024-07-15T17:55:21.564Z,delivered,True
store_id,store_petId,store_quantity,store_shipDate,store_status,store_complete
996394139,392,1,2024-08-15T17:55:21.564Z,placed,False
store_id,store_petId,store_quantity,store_shipDate,store_status,store_complete
996394140,393,8,2024-09-15T17:55:21.564Z,approved,True
